鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物)+車位,臺中市南區柳川東路一段1~30號,9.32,住,,,1081018,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860815,101.57,3,2,2,有,有,5900000,58088.0,坡道機械,0.0,0,,RPOQMLOJKIOFFAB57CA
西區,房地(土地+建物)+車位,臺中市西區公益路211~240號,15.19,住,,,1081109,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870918,154.24,3,2,2,有,有,11500000,74559.0,坡道平面,23.34,0,,RPWOMLNKKIOFFAB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松山街151~180號,28.09,住,,,1081104,土地1建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810508,223.47,4,2,3,有,有,9800000,43854.0,坡道平面,0.0,0,,RPPNMLQJKIOFFBB67CA
北屯區,房地(土地+建物)+車位,臺中市北屯區興安路二段421~450號,21.5,住,,,1081014,土地2建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890616,178.45,4,2,2,有,有,11000000,61642.0,坡道平面,22.49,0,,RPVNMLKLKIOFFBB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路61~90號,15.53,住,,,1081106,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960907,138.72,3,2,2,有,有,10760000,80353.0,坡道平面,20.99,1300000,含增建或未登記建物。,RPSQMLOJKIOFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路二段391~420號,7.91,住,,,1081106,土地1建物2車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850615,108.12,3,2,2,有,有,6000000,55494.0,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPPMLPJKIOFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區惠來路二段61~90號,27.94,其他,,,1081110,土地1建物1車位2,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960123,342.11,3,2,3,有,有,46800000,149197.0,坡道平面,55.24,4000000,,RPXRMLSKKIOFFCB66CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南五路一段271~300號,44.43,商,,,1080922,土地1建物1車位2,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980623,410.43,4,2,3,有,有,33500000,81622.0,坡道平面,51.02,0,,RPRNMLLKKIOFFCB57CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大英西一街1~30號,7.81,住,,,1081011,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821110,120.54,3,2,1,有,有,7300000,60561.0,坡道平面,0.0,0,,RPPPMLLKKIOFFCB57CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路511~540號,18.89,商,,,1081108,土地1建物1車位2,二十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030124,316.03,0,0,0,無,有,41990000,140980.0,坡道平面,35.92,2500000,,RPSOMLMKKIOFFCB87CA
